[{'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_5.yaml', 'name': 'id=supsup~seed=0~sparsity=1', 'sparsity': 1, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_5', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_5.yaml', 'name': 'id=supsup~seed=0~sparsity=2', 'sparsity': 2, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_5', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_5.yaml', 'name': 'id=supsup~seed=0~sparsity=4', 'sparsity': 4, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_5', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_5.yaml', 'name': 'id=supsup~seed=0~sparsity=8', 'sparsity': 8, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_5', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_5.yaml', 'name': 'id=supsup~seed=0~sparsity=16', 'sparsity': 16, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_5', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_5.yaml', 'name': 'id=supsup~seed=0~sparsity=32', 'sparsity': 32, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_5', 'epochs': 250, 'data': './data'}]
=> Reading YAML config from experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_5.yaml
=> Saving data in runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=1~try=0
Files already downloaded and verified
Files already downloaded and verified
[26 86  2 55 75 93 16 73 54 95 53 92 78 13  7 30 22 24 33  8 43 62  3 71
 45 48  6 99 82 76 60 80 90 68 51 27 18 56 63 74  1 61 42 41  4 15 17 40
 38  5 91 59  0 34 28 50 11 35 23 52 10 31 66 57 79 85 32 84 14 89 19 29
 49 97 98 69 20 94 72 77 25 37 81 46 39 65 58 12 88 70 87 36 21 83  9 96
 67 64 47 44]
[26 86  2 55 75]
[93 16 73 54 95]
[53 92 78 13  7]
[30 22 24 33  8]
[43 62  3 71 45]
Set sparsity of conv1 to 0.04259259259259259
Set sparsity of layer1.0.conv1 to 0.011111111111111112
Set sparsity of layer1.0.conv2 to 0.011111111111111112
Set sparsity of layer1.1.conv1 to 0.011111111111111112
Set sparsity of layer1.1.conv2 to 0.011111111111111112
Set sparsity of layer2.0.conv1 to 0.008333333333333333
Set sparsity of layer2.0.conv2 to 0.005555555555555556
Set sparsity of layer2.0.shortcut.0 to 0.075
Set sparsity of layer2.1.conv1 to 0.005555555555555556
Set sparsity of layer2.1.conv2 to 0.005555555555555556
Set sparsity of layer3.0.conv1 to 0.004166666666666667
Set sparsity of layer3.0.conv2 to 0.002777777777777778
Set sparsity of layer3.0.shortcut.0 to 0.0375
Set sparsity of layer3.1.conv1 to 0.002777777777777778
Set sparsity of layer3.1.conv2 to 0.002777777777777778
Set sparsity of layer4.0.conv1 to 0.0020833333333333333
Set sparsity of layer4.0.conv2 to 0.001388888888888889
Set sparsity of layer4.0.shortcut.0 to 0.01875
Set sparsity of layer4.1.conv1 to 0.001388888888888889
Set sparsity of layer4.1.conv2 to 0.001388888888888889
Set sparsity of linear to 0.20625
=> Parallelizing on [0] gpus
=> Using trainer <module 'trainers.default' from '/home/at2507/supsup_team/supsup/trainers/default.py'>
Train Epoch: 109 [1280/2500 (50%)]	Loss: 0.803706

Test set: Average loss: 0.8040, Accuracy: (0.7040)

Train Epoch: 110 [0/2500 (0%)]	Loss: 0.681079
Train Epoch: 110 [1280/2500 (50%)]	Loss: 0.887822

Test set: Average loss: 0.7703, Accuracy: (0.7000)

Train Epoch: 111 [0/2500 (0%)]	Loss: 0.755107
Train Epoch: 111 [1280/2500 (50%)]	Loss: 0.868303

Test set: Average loss: 0.7959, Accuracy: (0.6800)

Train Epoch: 112 [0/2500 (0%)]	Loss: 0.736282
Train Epoch: 112 [1280/2500 (50%)]	Loss: 0.682554

Test set: Average loss: 0.8174, Accuracy: (0.6760)

Train Epoch: 113 [0/2500 (0%)]	Loss: 0.729074
Train Epoch: 113 [1280/2500 (50%)]	Loss: 0.816459

Test set: Average loss: 0.8340, Accuracy: (0.6840)

Train Epoch: 114 [0/2500 (0%)]	Loss: 0.784573
Train Epoch: 114 [1280/2500 (50%)]	Loss: 0.754398

Test set: Average loss: 0.8496, Accuracy: (0.6740)

Train Epoch: 115 [0/2500 (0%)]	Loss: 0.886777
Train Epoch: 115 [1280/2500 (50%)]	Loss: 0.824692

Test set: Average loss: 0.8343, Accuracy: (0.6800)

Train Epoch: 116 [0/2500 (0%)]	Loss: 0.893054
Train Epoch: 116 [1280/2500 (50%)]	Loss: 0.741634

Test set: Average loss: 0.9180, Accuracy: (0.6500)

Train Epoch: 117 [0/2500 (0%)]	Loss: 0.921790
Train Epoch: 117 [1280/2500 (50%)]	Loss: 0.854448

Test set: Average loss: 0.8285, Accuracy: (0.6880)

Train Epoch: 118 [0/2500 (0%)]	Loss: 0.713265
Train Epoch: 118 [1280/2500 (50%)]	Loss: 0.787666

Test set: Average loss: 0.8677, Accuracy: (0.6640)

Train Epoch: 119 [0/2500 (0%)]	Loss: 0.836094
Train Epoch: 119 [1280/2500 (50%)]	Loss: 0.810661

Test set: Average loss: 0.8487, Accuracy: (0.6700)

Train Epoch: 120 [0/2500 (0%)]	Loss: 0.825138
Train Epoch: 120 [1280/2500 (50%)]	Loss: 0.773597

Test set: Average loss: 0.8306, Accuracy: (0.6960)

Train Epoch: 121 [0/2500 (0%)]	Loss: 0.877396
Train Epoch: 121 [1280/2500 (50%)]	Loss: 0.745867

Test set: Average loss: 0.8776, Accuracy: (0.6660)

Train Epoch: 122 [0/2500 (0%)]	Loss: 0.721274
Train Epoch: 122 [1280/2500 (50%)]	Loss: 0.706677

Test set: Average loss: 0.8394, Accuracy: (0.6720)

Train Epoch: 123 [0/2500 (0%)]	Loss: 0.868227
Train Epoch: 123 [1280/2500 (50%)]	Loss: 0.718539

Test set: Average loss: 0.8372, Accuracy: (0.6880)

Train Epoch: 124 [0/2500 (0%)]	Loss: 0.805075
Train Epoch: 124 [1280/2500 (50%)]	Loss: 0.730054

Test set: Average loss: 0.8594, Accuracy: (0.6600)

Train Epoch: 125 [0/2500 (0%)]	Loss: 0.782196
Train Epoch: 125 [1280/2500 (50%)]	Loss: 0.767981

Test set: Average loss: 0.8791, Accuracy: (0.6600)

Train Epoch: 126 [0/2500 (0%)]	Loss: 0.940569
Train Epoch: 126 [1280/2500 (50%)]	Loss: 0.671421

Test set: Average loss: 0.8261, Accuracy: (0.6740)

Train Epoch: 127 [0/2500 (0%)]	Loss: 0.827856
Train Epoch: 127 [1280/2500 (50%)]	Loss: 0.713145

Test set: Average loss: 0.8292, Accuracy: (0.6560)

Train Epoch: 128 [0/2500 (0%)]	Loss: 0.775599
Train Epoch: 128 [1280/2500 (50%)]	Loss: 0.879771

Test set: Average loss: 0.7784, Accuracy: (0.7000)

Train Epoch: 129 [0/2500 (0%)]	Loss: 0.817198
Train Epoch: 129 [1280/2500 (50%)]	Loss: 0.669064

Test set: Average loss: 0.8153, Accuracy: (0.6860)

Train Epoch: 130 [0/2500 (0%)]	Loss: 0.765393
Train Epoch: 130 [1280/2500 (50%)]	Loss: 0.663755

Test set: Average loss: 0.8474, Accuracy: (0.6600)

Train Epoch: 131 [0/2500 (0%)]	Loss: 0.802494
Train Epoch: 131 [1280/2500 (50%)]	Loss: 0.741237

Test set: Average loss: 0.7837, Accuracy: (0.7140)

Train Epoch: 132 [0/2500 (0%)]	Loss: 0.780550
Train Epoch: 132 [1280/2500 (50%)]	Loss: 0.687248

Test set: Average loss: 0.8175, Accuracy: (0.6920)

Train Epoch: 133 [0/2500 (0%)]	Loss: 0.938385
Train Epoch: 133 [1280/2500 (50%)]	Loss: 0.769710

Test set: Average loss: 0.8427, Accuracy: (0.6860)

Train Epoch: 134 [0/2500 (0%)]	Loss: 0.742298
Train Epoch: 134 [1280/2500 (50%)]	Loss: 0.682934

Test set: Average loss: 0.7840, Accuracy: (0.6980)

Train Epoch: 135 [0/2500 (0%)]	Loss: 0.721063
Train Epoch: 135 [1280/2500 (50%)]	Loss: 0.724112

Test set: Average loss: 0.7930, Accuracy: (0.7020)

Train Epoch: 136 [0/2500 (0%)]	Loss: 0.582017
Train Epoch: 136 [1280/2500 (50%)]	Loss: 0.699900

Test set: Average loss: 0.8170, Accuracy: (0.6580)

Train Epoch: 137 [0/2500 (0%)]	Loss: 0.669344
Train Epoch: 137 [1280/2500 (50%)]	Loss: 0.597381

Test set: Average loss: 0.8151, Accuracy: (0.6860)

Train Epoch: 138 [0/2500 (0%)]	Loss: 0.719530
Train Epoch: 138 [1280/2500 (50%)]	Loss: 0.743747

Test set: Average loss: 0.8091, Accuracy: (0.6960)

Train Epoch: 139 [0/2500 (0%)]	Loss: 0.713836
Train Epoch: 139 [1280/2500 (50%)]	Loss: 0.746569

Test set: Average loss: 0.8541, Accuracy: (0.6800)

Train Epoch: 140 [0/2500 (0%)]	Loss: 0.719586
Train Epoch: 140 [1280/2500 (50%)]	Loss: 0.931085

Test set: Average loss: 0.8669, Accuracy: (0.6740)

Train Epoch: 141 [0/2500 (0%)]	Loss: 0.666327
Train Epoch: 141 [1280/2500 (50%)]	Loss: 0.749215

Test set: Average loss: 0.8305, Accuracy: (0.6920)

Train Epoch: 142 [0/2500 (0%)]	Loss: 0.764102
Train Epoch: 142 [1280/2500 (50%)]	Loss: 0.823938

Test set: Average loss: 0.8304, Accuracy: (0.6740)

Train Epoch: 143 [0/2500 (0%)]	Loss: 0.809518
Train Epoch: 143 [1280/2500 (50%)]	Loss: 0.740575

Test set: Average loss: 0.8536, Accuracy: (0.6620)

Train Epoch: 144 [0/2500 (0%)]	Loss: 1.004967
Train Epoch: 144 [1280/2500 (50%)]	Loss: 0.705564

Test set: Average loss: 0.8586, Accuracy: (0.6660)

Train Epoch: 145 [0/2500 (0%)]	Loss: 0.621382
Train Epoch: 145 [1280/2500 (50%)]	Loss: 0.802073

Test set: Average loss: 0.8617, Accuracy: (0.6660)

Train Epoch: 146 [0/2500 (0%)]	Loss: 0.657249
Train Epoch: 146 [1280/2500 (50%)]	Loss: 0.745526

Test set: Average loss: 0.9488, Accuracy: (0.6040)

Train Epoch: 147 [0/2500 (0%)]	Loss: 0.910272
Train Epoch: 147 [1280/2500 (50%)]	Loss: 0.677785

Test set: Average loss: 0.8479, Accuracy: (0.6620)

Train Epoch: 148 [0/2500 (0%)]	Loss: 0.656619
Train Epoch: 148 [1280/2500 (50%)]	Loss: 0.831968

Test set: Average loss: 0.8255, Accuracy: (0.7000)

Train Epoch: 149 [0/2500 (0%)]	Loss: 0.718093
Train Epoch: 149 [1280/2500 (50%)]	Loss: 0.820548

Test set: Average loss: 0.8063, Accuracy: (0.6920)

Train Epoch: 150 [0/2500 (0%)]	Loss: 0.613256
Train Epoch: 150 [1280/2500 (50%)]	Loss: 0.853952

Test set: Average loss: 0.8118, Accuracy: (0.6780)

Train Epoch: 151 [0/2500 (0%)]	Loss: 0.846599
Train Epoch: 151 [1280/2500 (50%)]	Loss: 0.759424

Test set: Average loss: 0.8065, Accuracy: (0.6860)

Train Epoch: 152 [0/2500 (0%)]	Loss: 0.703707
Train Epoch: 152 [1280/2500 (50%)]	Loss: 0.654726

Test set: Average loss: 0.7927, Accuracy: (0.7000)

Train Epoch: 153 [0/2500 (0%)]	Loss: 0.735667
Train Epoch: 153 [1280/2500 (50%)]	Loss: 0.825023

Test set: Average loss: 0.8413, Accuracy: (0.6660)

Train Epoch: 154 [0/2500 (0%)]	Loss: 0.785246
Train Epoch: 154 [1280/2500 (50%)]	Loss: 0.763664

Test set: Average loss: 0.8235, Accuracy: (0.6640)

Train Epoch: 155 [0/2500 (0%)]	Loss: 0.693769
Train Epoch: 155 [1280/2500 (50%)]	Loss: 0.798684

Test set: Average loss: 0.8187, Accuracy: (0.6820)

Train Epoch: 156 [0/2500 (0%)]	Loss: 0.692435
Train Epoch: 156 [1280/2500 (50%)]	Loss: 0.708966

Test set: Average loss: 0.7972, Accuracy: (0.6720)

Train Epoch: 157 [0/2500 (0%)]	Loss: 0.796494
Train Epoch: 157 [1280/2500 (50%)]	Loss: 0.593351

Test set: Average loss: 0.7998, Accuracy: (0.7160)

Train Epoch: 158 [0/2500 (0%)]	Loss: 0.783593
Train Epoch: 158 [1280/2500 (50%)]	Loss: 0.878629

Test set: Average loss: 0.7877, Accuracy: (0.7140)

Train Epoch: 159 [0/2500 (0%)]	Loss: 0.684052
Train Epoch: 159 [1280/2500 (50%)]	Loss: 0.950979

Test set: Average loss: 0.7745, Accuracy: (0.7180)

Train Epoch: 160 [0/2500 (0%)]	Loss: 0.776422
Train Epoch: 160 [1280/2500 (50%)]	Loss: 0.825162

Test set: Average loss: 0.8408, Accuracy: (0.6980)

Train Epoch: 161 [0/2500 (0%)]	Loss: 0.798532
Train Epoch: 161 [1280/2500 (50%)]	Loss: 0.885412

Test set: Average loss: 0.8641, Accuracy: (0.6600)

Train Epoch: 162 [0/2500 (0%)]	Loss: 0.843911
Train Epoch: 162 [1280/2500 (50%)]	Loss: 0.838891

Test set: Average loss: 0.8763, Accuracy: (0.6500)

Train Epoch: 163 [0/2500 (0%)]	Loss: 0.767992
Train Epoch: 163 [1280/2500 (50%)]	Loss: 0.689074

Test set: Average loss: 0.7834, Accuracy: (0.6900)

Train Epoch: 164 [0/2500 (0%)]	Loss: 0.795254
Train Epoch: 164 [1280/2500 (50%)]	Loss: 0.903828

Test set: Average loss: 0.7883, Accuracy: (0.7040)

Train Epoch: 165 [0/2500 (0%)]	Loss: 0.757001
Train Epoch: 165 [1280/2500 (50%)]	Loss: 0.637669

Test set: Average loss: 0.8302, Accuracy: (0.6760)

Train Epoch: 166 [0/2500 (0%)]	Loss: 0.781758
Train Epoch: 166 [1280/2500 (50%)]	Loss: 0.686857

Test set: Average loss: 0.8289, Accuracy: (0.6780)

Train Epoch: 167 [0/2500 (0%)]	Loss: 0.694954
Train Epoch: 167 [1280/2500 (50%)]	Loss: 0.761786

Test set: Average loss: 0.7932, Accuracy: (0.6900)

Train Epoch: 168 [0/2500 (0%)]	Loss: 0.733318
Train Epoch: 168 [1280/2500 (50%)]	Loss: 0.697319

Test set: Average loss: 0.8073, Accuracy: (0.6840)

Train Epoch: 169 [0/2500 (0%)]	Loss: 0.744932
Train Epoch: 169 [1280/2500 (50%)]	Loss: 0.595088

Test set: Average loss: 0.7813, Accuracy: (0.7100)

Train Epoch: 170 [0/2500 (0%)]	Loss: 0.678348
Train Epoch: 170 [1280/2500 (50%)]	Loss: 0.632338

Test set: Average loss: 0.7744, Accuracy: (0.7100)

Train Epoch: 171 [0/2500 (0%)]	Loss: 0.854210
Train Epoch: 171 [1280/2500 (50%)]	Loss: 0.781233

Test set: Average loss: 0.7734, Accuracy: (0.7100)

Train Epoch: 172 [0/2500 (0%)]	Loss: 0.846771
Train Epoch: 172 [1280/2500 (50%)]	Loss: 0.713510

Test set: Average loss: 0.7841, Accuracy: (0.7200)

Train Epoch: 173 [0/2500 (0%)]	Loss: 0.712667
Train Epoch: 173 [1280/2500 (50%)]	Loss: 0.781415

Test set: Average loss: 0.7859, Accuracy: (0.7000)

Train Epoch: 174 [0/2500 (0%)]	Loss: 0.797858
Train Epoch: 174 [1280/2500 (50%)]	Loss: 0.685465

Test set: Average loss: 0.8066, Accuracy: (0.7000)

Train Epoch: 175 [0/2500 (0%)]	Loss: 0.658159
Train Epoch: 175 [1280/2500 (50%)]	Loss: 0.712814

Test set: Average loss: 0.7780, Accuracy: (0.7260)

Train Epoch: 176 [0/2500 (0%)]	Loss: 0.724918
Train Epoch: 176 [1280/2500 (50%)]	Loss: 0.750042

Test set: Average loss: 0.8141, Accuracy: (0.6920)

Train Epoch: 177 [0/2500 (0%)]	Loss: 0.777657
Train Epoch: 177 [1280/2500 (50%)]	Loss: 0.855080

Test set: Average loss: 0.8394, Accuracy: (0.6820)

Train Epoch: 178 [0/2500 (0%)]	Loss: 0.768038
Train Epoch: 178 [1280/2500 (50%)]	Loss: 0.661479

Test set: Average loss: 0.8094, Accuracy: (0.6940)

Train Epoch: 179 [0/2500 (0%)]	Loss: 0.666743
Train Epoch: 179 [1280/2500 (50%)]	Loss: 0.666645

Test set: Average loss: 0.8489, Accuracy: (0.6620)

Train Epoch: 180 [0/2500 (0%)]	Loss: 0.925374
Train Epoch: 180 [1280/2500 (50%)]	Loss: 0.728717

Test set: Average loss: 0.7761, Accuracy: (0.7000)

Train Epoch: 181 [0/2500 (0%)]	Loss: 0.724024
Train Epoch: 181 [1280/2500 (50%)]	Loss: 0.928469

Test set: Average loss: 0.7617, Accuracy: (0.7100)

Train Epoch: 182 [0/2500 (0%)]	Loss: 0.607169
Train Epoch: 182 [1280/2500 (50%)]	Loss: 0.794857

Test set: Average loss: 0.7708, Accuracy: (0.7140)

Train Epoch: 183 [0/2500 (0%)]	Loss: 0.721333
Train Epoch: 183 [1280/2500 (50%)]	Loss: 0.772442

Test set: Average loss: 0.7883, Accuracy: (0.6880)

Train Epoch: 184 [0/2500 (0%)]	Loss: 0.653387
Train Epoch: 184 [1280/2500 (50%)]	Loss: 0.781742

Test set: Average loss: 0.8351, Accuracy: (0.6860)

Train Epoch: 185 [0/2500 (0%)]	Loss: 0.707903
Train Epoch: 185 [1280/2500 (50%)]	Loss: 0.726558

Test set: Average loss: 0.7556, Accuracy: (0.7020)

Train Epoch: 186 [0/2500 (0%)]	Loss: 0.704520
Train Epoch: 186 [1280/2500 (50%)]	Loss: 0.733900

Test set: Average loss: 0.8260, Accuracy: (0.7020)

Train Epoch: 187 [0/2500 (0%)]	Loss: 0.806406
Train Epoch: 187 [1280/2500 (50%)]	Loss: 0.649356

Test set: Average loss: 0.7935, Accuracy: (0.7080)

Train Epoch: 188 [0/2500 (0%)]	Loss: 0.686390
Train Epoch: 188 [1280/2500 (50%)]	Loss: 0.803986

Test set: Average loss: 0.7956, Accuracy: (0.6980)

Train Epoch: 189 [0/2500 (0%)]	Loss: 0.687882
Train Epoch: 189 [1280/2500 (50%)]	Loss: 0.679910

Test set: Average loss: 0.7861, Accuracy: (0.7060)

Train Epoch: 190 [0/2500 (0%)]	Loss: 0.716738
Train Epoch: 190 [1280/2500 (50%)]	Loss: 0.798507

Test set: Average loss: 0.7986, Accuracy: (0.6900)

Train Epoch: 191 [0/2500 (0%)]	Loss: 0.793634
Train Epoch: 191 [1280/2500 (50%)]	Loss: 0.724765

Test set: Average loss: 0.7623, Accuracy: (0.7300)

Train Epoch: 192 [0/2500 (0%)]	Loss: 0.712655
Train Epoch: 192 [1280/2500 (50%)]	Loss: 0.739336

Test set: Average loss: 0.7972, Accuracy: (0.7040)

Train Epoch: 193 [0/2500 (0%)]	Loss: 0.768076
Train Epoch: 193 [1280/2500 (50%)]	Loss: 0.633766

Test set: Average loss: 0.7789, Accuracy: (0.7000)

Train Epoch: 194 [0/2500 (0%)]	Loss: 0.677684
Train Epoch: 194 [1280/2500 (50%)]	Loss: 0.796333

Test set: Average loss: 0.8378, Accuracy: (0.6720)

Train Epoch: 195 [0/2500 (0%)]	Loss: 0.618121
Train Epoch: 195 [1280/2500 (50%)]	Loss: 0.671755

Test set: Average loss: 0.8157, Accuracy: (0.7000)

Train Epoch: 196 [0/2500 (0%)]	Loss: 0.689507
Train Epoch: 196 [1280/2500 (50%)]	Loss: 0.697717

Test set: Average loss: 0.7489, Accuracy: (0.7060)

Train Epoch: 197 [0/2500 (0%)]	Loss: 0.626707
Train Epoch: 197 [1280/2500 (50%)]	Loss: 0.789954

Test set: Average loss: 0.7951, Accuracy: (0.6960)

Train Epoch: 198 [0/2500 (0%)]	Loss: 0.825491
Train Epoch: 198 [1280/2500 (50%)]	Loss: 0.730303

Test set: Average loss: 0.7519, Accuracy: (0.6980)

Train Epoch: 199 [0/2500 (0%)]	Loss: 0.802086
Train Epoch: 199 [1280/2500 (50%)]	Loss: 0.827910

Test set: Average loss: 0.7660, Accuracy: (0.7100)

Train Epoch: 200 [0/2500 (0%)]	Loss: 0.664821
Train Epoch: 200 [1280/2500 (50%)]	Loss: 0.657964

Test set: Average loss: 0.8032, Accuracy: (0.6740)

Train Epoch: 201 [0/2500 (0%)]	Loss: 0.622889
Train Epoch: 201 [1280/2500 (50%)]	Loss: 0.719720

Test set: Average loss: 0.8067, Accuracy: (0.6980)

Train Epoch: 202 [0/2500 (0%)]	Loss: 0.684086
Train Epoch: 202 [1280/2500 (50%)]	Loss: 0.651501

Test set: Average loss: 0.8768, Accuracy: (0.6560)

Train Epoch: 203 [0/2500 (0%)]	Loss: 0.774182
Train Epoch: 203 [1280/2500 (50%)]	Loss: 0.673229

Test set: Average loss: 0.7928, Accuracy: (0.6860)

Train Epoch: 204 [0/2500 (0%)]	Loss: 0.781439
Train Epoch: 204 [1280/2500 (50%)]	Loss: 0.704570

Test set: Average loss: 0.8062, Accuracy: (0.6880)

Train Epoch: 205 [0/2500 (0%)]	Loss: 0.724754
Train Epoch: 205 [1280/2500 (50%)]	Loss: 0.549684

Test set: Average loss: 0.8336, Accuracy: (0.6820)

Train Epoch: 206 [0/2500 (0%)]	Loss: 0.746647
Train Epoch: 206 [1280/2500 (50%)]	Loss: 0.631859

Test set: Average loss: 0.7842, Accuracy: (0.7120)

Train Epoch: 207 [0/2500 (0%)]	Loss: 0.692886
Train Epoch: 207 [1280/2500 (50%)]	Loss: 0.822129

Test set: Average loss: 0.7950, Accuracy: (0.7080)

Train Epoch: 208 [0/2500 (0%)]	Loss: 0.617923
Train Epoch: 208 [1280/2500 (50%)]	Loss: 0.795947

Test set: Average loss: 0.8059, Accuracy: (0.7040)

Train Epoch: 209 [0/2500 (0%)]	Loss: 0.722875
Train Epoch: 209 [1280/2500 (50%)]	Loss: 0.758578

Test set: Average loss: 0.7772, Accuracy: (0.7060)

Train Epoch: 210 [0/2500 (0%)]	Loss: 0.848907
Train Epoch: 210 [1280/2500 (50%)]	Loss: 0.756903

Test set: Average loss: 0.7480, Accuracy: (0.7280)

Train Epoch: 211 [0/2500 (0%)]	Loss: 0.688620
Train Epoch: 211 [1280/2500 (50%)]	Loss: 0.748223

Test set: Average loss: 0.8641, Accuracy: (0.6880)

Train Epoch: 212 [0/2500 (0%)]	Loss: 0.850325
Train Epoch: 212 [1280/2500 (50%)]	Loss: 0.652297

Test set: Average loss: 0.8339, Accuracy: (0.6900)

Train Epoch: 213 [0/2500 (0%)]	Loss: 0.695296
Train Epoch: 213 [1280/2500 (50%)]	Loss: 0.703703

Test set: Average loss: 0.7756, Accuracy: (0.7080)

Train Epoch: 214 [0/2500 (0%)]	Loss: 0.743536
Train Epoch: 214 [1280/2500 (50%)]	Loss: 0.731390

Test set: Average loss: 0.7593, Accuracy: (0.7200)

Train Epoch: 215 [0/2500 (0%)]	Loss: 0.594506
Train Epoch: 215 [1280/2500 (50%)]	Loss: 0.696835

Test set: Average loss: 0.8110, Accuracy: (0.7140)

Train Epoch: 216 [0/2500 (0%)]	Loss: 0.764131
Train Epoch: 216 [1280/2500 (50%)]	Loss: 0.610574

Test set: Average loss: 0.7895, Accuracy: (0.6980)

Train Epoch: 217 [0/2500 (0%)]	Loss: 0.762779
Train Epoch: 217 [1280/2500 (50%)]	Loss: 0.638037

Test set: Average loss: 0.7973, Accuracy: (0.6960)

Train Epoch: 218 [0/2500 (0%)]	Loss: 0.799884
Train Epoch: 218 [1280/2500 (50%)]	Loss: 0.651067

Test set: Average loss: 0.7827, Accuracy: (0.7200)

Train Epoch: 219 [0/2500 (0%)]	Loss: 0.719337
Train Epoch: 219 [1280/2500 (50%)]	Loss: 0.764152

Test set: Average loss: 0.8205, Accuracy: (0.6880)

Train Epoch: 220 [0/2500 (0%)]	Loss: 0.840276
Train Epoch: 220 [1280/2500 (50%)]	Loss: 0.621474

Test set: Average loss: 0.8006, Accuracy: (0.7060)

Train Epoch: 221 [0/2500 (0%)]	Loss: 0.589430
Train Epoch: 221 [1280/2500 (50%)]	Loss: 0.733140

Test set: Average loss: 0.7928, Accuracy: (0.7200)

Train Epoch: 222 [0/2500 (0%)]	Loss: 0.598209
Train Epoch: 222 [1280/2500 (50%)]	Loss: 0.736501

Test set: Average loss: 0.7544, Accuracy: (0.7240)

Train Epoch: 223 [0/2500 (0%)]	Loss: 0.678233
Train Epoch: 223 [1280/2500 (50%)]	Loss: 0.658899

Test set: Average loss: 0.7871, Accuracy: (0.7100)

Train Epoch: 224 [0/2500 (0%)]	Loss: 0.591234
Train Epoch: 224 [1280/2500 (50%)]	Loss: 0.672543

Test set: Average loss: 0.7632, Accuracy: (0.7260)

Train Epoch: 225 [0/2500 (0%)]	Loss: 0.634865
Train Epoch: 225 [1280/2500 (50%)]	Loss: 0.550779

Test set: Average loss: 0.7770, Accuracy: (0.7080)

Train Epoch: 226 [0/2500 (0%)]	Loss: 0.564250
Train Epoch: 226 [1280/2500 (50%)]	Loss: 0.690311

Test set: Average loss: 0.7786, Accuracy: (0.7140)

Train Epoch: 227 [0/2500 (0%)]	Loss: 0.810962
Train Epoch: 227 [1280/2500 (50%)]	Loss: 0.711969

Test set: Average loss: 0.7615, Accuracy: (0.7100)

Train Epoch: 228 [0/2500 (0%)]	Loss: 0.715225
Train Epoch: 228 [1280/2500 (50%)]	Loss: 0.701584

Test set: Average loss: 0.7826, Accuracy: (0.6880)

Train Epoch: 229 [0/2500 (0%)]	Loss: 0.737461
Train Epoch: 229 [1280/2500 (50%)]	Loss: 0.677652

Test set: Average loss: 0.7692, Accuracy: (0.7040)

Train Epoch: 230 [0/2500 (0%)]	Loss: 0.775131
Train Epoch: 230 [1280/2500 (50%)]	Loss: 0.574779

Test set: Average loss: 0.7766, Accuracy: (0.7020)

Train Epoch: 231 [0/2500 (0%)]	Loss: 0.691213
Train Epoch: 231 [1280/2500 (50%)]	Loss: 0.774176

Test set: Average loss: 0.7533, Accuracy: (0.7260)

Train Epoch: 232 [0/2500 (0%)]	Loss: 0.721422
Train Epoch: 232 [1280/2500 (50%)]	Loss: 0.811107

Test set: Average loss: 0.7960, Accuracy: (0.7020)

Train Epoch: 233 [0/2500 (0%)]	Loss: 0.625843
Train Epoch: 233 [1280/2500 (50%)]	Loss: 0.635952

Test set: Average loss: 0.7637, Accuracy: (0.7040)

Train Epoch: 234 [0/2500 (0%)]	Loss: 0.669055
Train Epoch: 234 [1280/2500 (50%)]	Loss: 0.633495

Test set: Average loss: 0.7798, Accuracy: (0.7060)

Train Epoch: 235 [0/2500 (0%)]	Loss: 0.632371
Train Epoch: 235 [1280/2500 (50%)]	Loss: 0.645343

Test set: Average loss: 0.7485, Accuracy: (0.7040)

Train Epoch: 236 [0/2500 (0%)]	Loss: 0.686465
Train Epoch: 236 [1280/2500 (50%)]	Loss: 0.680479

Test set: Average loss: 0.8130, Accuracy: (0.6860)

